순번,쉼터명칭,사용여부,도로명주소,지번주소,시설유형,시설면적,이용가능인원,운영시작일,운영종료일,평일개방여부,평일 개방시간,평일 종료시간,토요일개방여부,토요일 개방시간,토요일 종료시간,일요일 개방여부,일요일 개방시간,일요일 종료시간,공휴일 개방여부,공휴일 개방시간,공휴일 종료시간,경도,위도,비고,X좌표,Y좌표,야간개방
1088,서원경로당,Y,서울특별시 관악구 서원3길 10,서울특별시 관악구 신림동 409-26,노인시설,238,30,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.933228,37.476832,한파특보 발효시 운영,194093.8321,541934.8748,
1089,신관경로당,Y,서울특별시 관악구 신림로48길 25,서울특별시 관악구 신림동 91-50,노인시설,396,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.933451,37.479402,한파특보 발효시 운영,194113.7587,542220.0965,
1090,신원동주민센터,Y,서울특별시 관악구 신원로3길 13,서울특별시 관악구 신림동 1601-3,주민센터,200,23,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9274389,37.481624,한파특보 발효 시(평일 09:00~20:00) 운영,193582.18,542467.1018,
1091,신일경로당,Y,서울특별시 관악구 문성로32길 18,서울특별시 관악구 신림동 1630-30,노인시설,362,46,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9286988,37.4785019,한파특보 발효시 운영,193693.3522,542120.5051,
1092,신원경로당,Y,서울특별시 관악구 남부순환로170길 6,서울특별시 관악구 신림동 1581-6,노인시설,254,32,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.924382,37.48269,한파특보 발효시 운영,193311.901,542585.6264,
1093,서림동주민센터,Y,서울특별시 관악구 신림로29길 6,서울특별시 관악구 신림동 1694-7,주민센터,780,23,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9349893,37.4749906,한파특보 발효 시(평일 09:00~20:00) 운영,194249.4829,541730.3951,
1094,서림경로당,Y,서울특별시 관악구 서림3길 47,서울특별시 관악구 신림동 103-141,노인시설,52,7,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9406227,37.472323,한파특보 발효시 운영,194747.5983,541433.9983,
1095,서광경로당,Y,서울특별시 관악구 참숯5길 38,서울특별시 관악구 신림동 1564-64,노인시설,198,25,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9417476,37.4761071,한파특보 발효시 운영,194847.3646,541853.9204,
1096,행복경로당,Y,서울특별시 관악구 신림로36길 12-10 ,서울특별시 관악구 신림동 94-115,노인시설,202.56,26,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9379322,37.4756227,한파특보 발효시 운영,194509.8432,541800.3741,
1097,구립어울림경로당,Y,서울특별시 관악구 남부순환로149길 34-2 ,서울특별시 관악구 신림동 524-14,노인시설,224,28,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9154943,37.4835879,한파특보 발효시 운영,192525.9101,542685.9498,
