순번,행정동 이름,시설 이름,주소,시설유형,이용가능인원,평일이용시간,주말이용시간,회원제 여부,X좌표,Y좌표,면적,비고,경도,위도
1,강남구,차병원차움 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 442,기타,약 10명,04:00-익일01:00,,,203896.28243,547097.889368,,,127.0440766449973,37.52336171863093
2,강남구,프리마호텔 버스정류장 그린스마트쉼터1,서울특별시 강남구 도산대로 513,기타,약 10명,04:00-익일01:00,,,204373.234382,547256.87499,,,127.04947310199763,37.52479204563486
3,강남구,프리마호텔 버스정류장 그린스마트쉼터2,서울특별시 강남구 도산대로 529,기타,약 10명,04:00-익일01:00,,,204534.697763,547290.812459,,,127.05129989800321,37.525097043631874
4,강남구,강남구청 버스정류장 그린스마트쉼터1,서울특별시 강남구 학동로 426,기타,약 10명,04:00-익일01:00,,,204189.295521,546427.723515,,,127.04738753200223,37.517322222625424
5,강남구,강남구청 버스정류장 그린스마트쉼터2,서울특별시 강남구 학동로 425,기타,약 10명,04:00-익일01:00,,,204154.05432,546576.46915,,,127.0469897389983,37.518662584624025
6,강남구,신사동교회 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 217,기타,약 10명,04:00-익일01:00,,,202701.512089,546815.980572,,,127.03055978699454,37.520825983633216
7,강남구,씨네시티앞 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 327,기타,약 10명,04:00-익일01:00,,,203324.949642,547072.565332,,,127.03761333700078,37.523135783630664
8,강남구,도산공원사거리 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 305,기타,약 10명,04:00-익일01:00,,,203061.351133,546964.093157,,,127.03463094000266,37.522159358631704
9,강남구,한양아파트 버스정류장 그린스마트쉼터,서울특별시 강남구 압구정로 343,기타,약 10명,04:00-익일01:00,,,203538.302918,547664.486498,,,127.04002973500504,37.52846821164037
10,강남구,신사역 8번출구 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 125,기타,약 10명,04:00-익일01:00,,,201950.354199,546453.657421,,,127.02206165000189,37.51756333362804
11,강남구,신사동고개 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 157,기타,약 10명,04:00-익일01:00,,,202267.768526,546616.28161,,,127.02565261899952,37.519027857624685
12,강남구,언북중학교 입구 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 218,기타,약 10명,04:00-익일01:00,,,202726.188569,546743.740574,,,127.03083866199553,37.52017502662991
13,강남구,제일은행 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 306,기타,약 10명,04:00-익일01:00,,,203082.600708,546884.524657,,,127.03487098799737,37.521442373630734
14,강남구,영동119안전센터 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 330,기타,약 10명,04:00-익일01:00,,,203369.069952,546996.017038,,,127.03811209500309,37.522445921629206
15,강남구,강남구청역 버스정류장 그린스마트쉼터1,서울특별시 강남구 학동로 336,기타,약 10명,04:00-익일01:00,,,203503.270498,546323.802876,,,127.03962701500357,37.516388752627
16,강남구,강남구청역 버스정류장 그린스마트쉼터2,서울특별시 강남구 학동로 337,기타,약 10명,04:00-익일01:00,,,203529.854838,546399.637807,,,127.03992808600442,37.51707192662576
17,강남구,세관앞 버스정류장 그린스마트쉼터,서울특별시 강남구 학동로 235,기타,약 10명,04:00-익일01:00,,,203095.269241,546233.924738,,,127.03501155799795,37.51558040562224
18,강남구,농협앞 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 443,기타,약 10명,04:00-익일01:00,,,203929.43086,547186.728388,,,127.04445211099564,37.524162019634765
19,강남구,신사역 1번출구 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 120,기타,약 10명,04:00-익일01:00,,,201933.352271,546360.93527,,,127.02186908700234,37.51672793962505
20,강남구,신사동고개 버스정류장 그린스마트쉼터,서울특별시 강남구 도산대로 159,기타,약 10명,04:00-익일01:00,,,202284.685118,546629.268326,,,127.02584401700224,37.51914482662465
21,강남구,"논현동사거리, 학동역 버스정류장 그린스마트쉼터",서울특별시 강남구 학동로 171,기타,약 10명,04:00-익일01:00,,,202608.246735,546065.063346,,,127.02950209599787,37.51406046262202
22,강남구,영동시장 버스정류장 그린스마트쉼터,서울특별시 강남구 학동로 107,기타,약 10명,04:00-익일01:00,,,201988.254614,545803.892344,,,127.02248860800171,37.511708844620486
23,강남구,"한국무역센터, 삼성역 버스정류장 그린스마트쉼터",서울특별시 강남구 테헤란로 517,기타,약 10명,24시간,,,205280.941565,545465.82659,,,127.05972885600411,37.508649896617136
24,강남구,포스코사거리 버스정류장 그린스마트쉼터,서울특별시 강남구 테헤란로 507,기타,약 10명,24시간,,,205103.09816,545358.626232,,,127.05771665700314,37.507685016617856
25,강남구,선릉역 버스정류장 그린스마트쉼터, 서울특별시 강남구 테헤란로 306,기타,약 10명,24시간,,,203886.378715,544780.60149,,,127.0439523639946,37.50248290660643
26,강남구,포스코 건너편 버스정류장 그린스마트쉼터,서울특별시 강남구 테헤란로 443,기타,약 10명,24시간,,,204915.692807,545276.954879,,,127.05559653500545,37.50695017061357
27,강남구,"한국무역센터, 삼성역 버스정류장 그린스마트쉼터",서울특별시 강남구 테헤란로 528,기타,약 10명,24시간,,,205481.264554,545404.335806,,,127.06199410300142,37.5080946946198
28,강남구,선릉역 버스정류장 그린스마트쉼터,서울특별시 강남구 테헤란로 413,기타,약 10명,24시간,,,204534.295466,545124.779945,,,127.05128199099592,37.505581018616745
29,강남구,"서울상록회관, 한국기술센터 버스정류장 그린스마트쉼터",서울특별시 강남구 테헤란로 305,기타,약 10명,24시간,,,203871.325581,544875.810217,,,127.04378262400557,37.50334080561245
30,강남구,"아가방빌딩, 하나은행 버스정류장 그린스마트쉼터",서울특별시 강남구 테헤란로 207,기타,약 10명,24시간,,,203423.887266,544695.320412,,,127.03872149700128,37.5017163496121
31,강남구,"역삼역, 포스코타워 역삼 버스정류장 그린스마트쉼터",서울특별시 강남구 테헤란로 134,기타,약 10명,24시간,,,202989.169725,544435.544063,,,127.03380412600258,37.499377258610345
32,강남구,"한국자산신탁, 센터필드 버스정류장 그린스마트쉼터",서울특별시 강남구 테헤란로 306,기타,약 10명,24시간,,,203886.378715,544780.60149,,,127.0439523639946,37.50248290660643
33,강동구,고덕리엔파크3단지경로당,"강동구 상일로 74 , 335-802(상일동, 고덕리엔파크3단지)",노인시설,30,09시 ~ 18시,09시 ~ 21시,회원제,215360.106528,550302.888191,,,127.17382768500464,37.5521190416659
34,강동구,선린경로당,"강동구 명일로10나길  5 , 선린경로당(둔촌동)",노인시설,40,09시 ~ 18시,09시 ~ 21시,회원제,212781.690003,548012.68977,,,127.14460842300126,37.531523777643045
35,강동구,선사현대아파트경로당,"강동구 상암로 11 , 113-401(암사동, 선사현대아파트)",노인시설,56,09시 ~ 18시,09시 ~ 21시,회원제,211043.751945,550447.745164,,,127.12498254899644,37.553486004666745
36,강동구,안말경로당,강동구 풍성로45길 11,노인시설,42,09시 ~ 18시,09시 ~ 21시,회원제,211481.68131,547980.680234,,,127.12990002899701,37.53125246564487
37,강북구,미송 경로당,서울 강북구 인수봉로 42,노인시설,30,09시 ~ 18시,,,201147.591209,558247.815998,,,127.01299956299596,37.623829493738384
38,강북구,샛강 경로당,강북구 도봉로 96나길 9-1(번동),노인시설,30,09시 ~ 18시,,,202859.870852,559937.407638,,,127.03240235100364,37.63904874475177
39,강북구,솔샘길 경로당,강북구 솔샘로 277-1(미아동),노인시설,40,09시 ~ 18시,,,202069.735966,557695.831875,,,127.02344377499499,37.61885457273615
40,강북구,오동 경로당,강북구 오현로 25나길 92(번동),노인시설,60,09시 ~ 18시,,,202935.909399,558451.466306,,,127.03325790099754,37.62566038574504
41,강서구,가양1동 주민센터,강서구 허준로 30  ,주민센터,20,09시 ~ 18시,,,186279.693468,552229.237907,,,126.84469356100206,37.56950118868156
42,강서구,가양2동 주민센터,강서구 허준로 93  ,주민센터,20,09시 ~ 18시,,,186858.55314,551991.835192,,,126.85125017200124,37.567370645681756
43,강서구,가양3동 주민센터,강서구 허준로 202 ,주민센터,20,09시 ~ 18시,,,187680.706202,551295.212566,,,126.86056790700486,37.56110547867395
44,강서구,등촌1동 주민센터,강서구 공항대로53가길 55 ,주민센터,20,09시 ~ 18시,,,187531.561728,550708.593364,,,126.85888983399856,37.55581806666919
45,강서구,등촌2동 주민센터,강서구 등촌로 143  ,주민센터,20,09시 ~ 18시,,,187848.715162,549247.385073,,,126.86250335899538,37.542656873650174
