"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1150062000","005","공항동 주민센터","서울특별시 강서구 송정로 45","","1,045.00","209","","20240520","20240930","126.810039","37.558844","183215.787798","551052.071208"
"2025","1150063000","001","대한항공정우회","서울특별시 강서구 양천로24길 108","","14.00","34","","20240520","20240930","126.815191","37.568521","183673.101599","552125.120631"
"2025","1150063000","001","방화동부어르신사랑방","서울특별시 강서구 양천로28길 12-9 ","","99.00","20","","20240520","20240930","126.819904","37.572525","184090.304290","552568.754638"
"2025","1150063000","001","방화구립어르신사랑방","서울특별시 강서구 방화대로37길 47-5 ","","116.00","23","","20240520","20240930","126.813900","37.569800","183559.347477","552267.344358"
"2025","1150063000","001","복종어르신사랑방","서울특별시 강서구 양천로7길 11","","96.00","19","","20240520","20240930","126.807733","37.573411","183015.372750","552669.231911"
"2025","1150063000","001","방화일심어르신사랑방","서울특별시 강서구 방화대로 297-9 ","","199.00","40","","20240520","20240930","126.816001","37.566875","183744.329675","551942.326447"
"2025","1150063000","005","방화1동 주민센터","서울특별시 강서구 방화대로 330","","622.00","124","","20240520","20240930","126.817020","37.570345","183835.051879","552327.314082"
"2025","1150064000","001","내촌어르신사랑방","서울특별시 강서구 개화동로13길 12-8 ","","127.00","25","","20240520","20240930","126.801580","37.577471","182472.757221","553120.975813"
"2025","1150064000","001","방화11종합사회복지관경로당","서울특별시 강서구 개화동로21길 4","","123.00","25","","20240520","20240930","126.806000","37.569400","182861.344587","552224.360459"
"2025","1150064000","005","방화2동 주민센터","서울특별시 강서구 개화동로21길 52","","180.00","36","","20240520","20240930","126.805400","37.571500","182808.821066","552457.545972"
"2025","1150064000","001","방화 어르신사랑방","서울특별시 강서구 개화동로23길 26","","180.00","36","","20240520","20240930","126.807083","37.566672","182956.407956","551921.342496"
"2025","1150064000","001","개화어르신사랑방","서울특별시 강서구 개화동로5길 3-66 ","","114.00","22","","20240520","20240930","126.798783","37.583106","182227.017345","553746.933875"
"2025","1150064000","001","상사어르신사랑방","서울특별시 강서구 개화길 52","","163.00","32","","20240520","20240930","126.801554","37.586793","182472.646090","554155.606754"
"2025","1150064000","002","방화11종합사회복지관","서울특별시 강서구 개화동로21길 4","","346.43","104","","20240520","20240930","126.805900","37.569400","182852.510220","552224.378702"
"2025","1150064100","001","능말어르신사랑방","서울특별시 강서구 금낭화로19길 7-3 ","","151.00","30","","20240520","20240930","126.811412","37.575473","183340.795706","552897.442903"
"2025","1150064100","001","방화2종합사회복지관우정경로당","서울특별시 강서구 방화대로48길 40","","88.00","18","","20240520","20240930","126.820137","37.574245","184111.305845","552759.571040"
"2025","1150064100","001","치현 어르신사랑방","서울특별시 강서구 금낭화로24가길 40","","318.00","64","","20240520","20240930","126.815258","37.579831","183681.479951","553380.378794"
"2025","1150064100","005","방화3동주민센터","서울특별시 강서구 금낭화로24길 5","","1,305.00","261","","20240520","20240930","126.813523","37.578745","183528.012463","553260.214406"
